game_id,team,2pt_makes,2pt_attempts,3pt_makes,3pt_attempts
2022057_BOS_MIL,MIL,31,65,9,34
2022057_MEM_GSW,MEM,24,49,16,43
2022057_MEM_GSW,GSW,36,53,17,32
2022058_PHO_DAL,PHO,30,59,9,25
2022058_PHO_DAL,DAL,18,41,20,44
2022058_MIA_PHI,MIA,31,47,7,35
2022058_MIA_PHI,PHI,21,35,16,33
2022059_BOS_MIL,BOS,28,47,14,37
2022059_BOS_MIL,MIL,30,67,9,27
2022059_MEM_GSW,MEM,31,61,9,35
2022059_MEM_GSW,GSW,27,53,9,37
20220510_PHI_MIA,PHI,22,53,9,32
20220510_PHI_MIA,MIA,32,51,13,33
20220510_DAL_PHO,DAL,19,39,8,32
20220510_DAL_PHO,PHO,31,55,12,32
20220511_MIL_BOS,MIL,27,63,13,29
20220511_MIL_BOS,BOS,32,51,10,31
20220511_GSW_MEM,GSW,22,41,14,39
20220511_GSW_MEM,MEM,29,58,18,41
20220512_MIA_PHI,MIA,35,59,7,28
20220512_MIA_PHI,PHI,24,50,12,37
20220512_PHO_DAL,PHO,25,60,6,18
20220512_PHO_DAL,DAL,19,38,16,39
20220513_BOS_MIL,BOS,21,44,17,43
20220513_BOS_MIL,MIL,29,59,7,29
20220513_MEM_GSW,MEM,19,60,15,36
20220513_MEM_GSW,GSW,21,51,20,53
20220515_MIL_BOS,MIL,29,57,4,33
20220515_MIL_BOS,BOS,15,33,22,55
20220515_DAL_PHO,DAL,27,42,19,39
20220515_DAL_PHO,PHO,21,53,12,34
20220517_BOS_MIA,BOS,25,45,11,34
20220517_BOS_MIA,MIA,29,50,10,30
20220518_DAL_GSW,DAL,20,38,11,48
20220518_DAL_GSW,GSW,36,53,10,29
20220519_BOS_MIA,BOS,23,44,20,40
20220519_BOS_MIA,MIA,28,52,10,34
20220520_DAL_GSW,DAL,16,33,21,45
20220520_DAL_GSW,GSW,32,54,14,28
20220521_MIA_BOS,MIA,32,59,11,33
20220521_MIA_BOS,BOS,22,38,12,32
20220522_GSW_DAL,GSW,27,49,11,32
20220522_GSW_DAL,DAL,17,30,13,45
20220523_MIA_BOS,MIA,16,54,14,36
20220523_MIA_BOS,BOS,23,44,8,34
20220524_GSW_DAL,GSW,31,56,10,28
20220524_GSW_DAL,DAL,21,39,20,43
20220525_BOS_MIA,BOS,23,38,10,33
20220525_BOS_MIA,MIA,23,49,7,45
20220526_DAL_GSW,DAL,20,40,17,42
20220526_DAL_GSW,GSW,31,52,14,36
20220527_MIA_BOS,MIA,21,43,15,35
20220527_MIA_BOS,BOS,21,39,11,33
20220529_BOS_MIA,BOS,24,53,11,32
20220529_BOS_MIA,MIA,31,58,6,30
