time,away_description,away_change,score,home_change,home_description
9:41.0,T. Davis misses 3-pt jump shot from 25 ft, ,41-48, , 
9:37.0, , ,41-48, ,Defensive rebound by N. Bjelica
9:33.0, , ,41-48, ,Shooting foul by P. Siakam (drawn by H. Barnes)
9:33.0, , ,41-49,+1,H. Barnes makes free throw 1 of 2
9:33.0, , ,41-50,+1,H. Barnes makes free throw 2 of 2
9:21.0,Y. Watanabe makes 3-pt jump shot from 26 ft (assist by M. Flynn),+3,44-50, , 
9:21.0, , ,44-50, ,N. Bjelica misses 2-pt layup from 6 ft (block by P. Siakam)
9:21.0,Defensive rebound by Team, ,44-50, , 
9:14.0,Toronto full timeout, ,44-50, , 
9:14.0,Instant Replay (Challenge: Ruling Stands), ,44-50, , 
9:00.0,M. Flynn makes 2-pt jump shot from 11 ft,+2,46-50, , 
8:44.0, , ,46-50, ,N. Bjelica misses 3-pt jump shot from 26 ft
8:42.0,Defensive rebound by M. Flynn, ,46-50, , 
8:42.0, , ,46-50, ,T. Haliburton enters the game for M. Bagley
8:42.0, , ,46-50, ,R. Holmes enters the game for D. Fox
8:30.0,T. Davis misses 3-pt jump shot from 26 ft, ,46-50, , 
8:27.0, , ,46-50, ,Defensive rebound by Team
8:17.0, , ,46-53,+3,C. Joseph makes 3-pt jump shot from 23 ft (assist by H. Barnes)
7:55.0,O. Anunoby misses 3-pt jump shot from 24 ft, ,46-53, , 
7:55.0,Offensive rebound by Y. Watanabe, ,46-53, , 
7:49.0,Y. Watanabe misses 2-pt jump shot from 11 ft, ,46-53, , 
7:49.0, , ,46-53, ,Defensive rebound by H. Barnes
7:43.0, , ,46-53, ,C. Joseph misses 3-pt jump shot from 23 ft
7:40.0,Defensive rebound by Y. Watanabe, ,46-53, , 
7:35.0,Personal foul by C. Joseph (drawn by M. Flynn), ,46-53, , 
7:35.0,N. Powell enters the game for M. Flynn, ,46-53, , 
7:35.0,F. VanVleet enters the game for Y. Watanabe, ,46-53, , 
7:35.0, , ,46-53, ,B. Hield enters the game for C. Joseph
7:26.0,P. Siakam makes 2-pt hook shot from 7 ft,+2,48-53, , 
7:04.0, , ,48-53, ,B. Hield misses 3-pt jump shot from 25 ft
6:59.0,Defensive rebound by P. Siakam, ,48-53, , 
6:45.0,T. Davis makes 2-pt layup from 1 ft (assist by P. Siakam),+2,50-53, , 
6:20.0, , ,50-53, ,R. Holmes misses 2-pt jump shot from 8 ft
6:16.0,Defensive rebound by F. VanVleet, ,50-53, , 
6:12.0,P. Siakam makes 3-pt jump shot from 25 ft (assist by F. VanVleet),+3,53-53, , 
6:11.0, , ,53-53, ,Sacramento full timeout
6:11.0,C. Boucher enters the game for O. Anunoby, ,53-53, , 
6:11.0, , ,53-53, ,G. Robinson enters the game for N. Bjelica
5:54.0, , ,53-53, ,Turnover by H. Barnes (bad pass; steal by C. Boucher)
5:43.0,P. Siakam makes 2-pt jump shot from 17 ft,+2,55-53, , 
5:29.0, , ,55-53, ,T. Haliburton misses 3-pt jump shot from 25 ft
5:24.0,Defensive rebound by P. Siakam, ,55-53, , 
5:22.0,T. Davis makes 2-pt layup from 1 ft (assist by P. Siakam),+2,57-53, , 
5:14.0, , ,57-55,+2,H. Barnes makes 2-pt jump shot from 11 ft (assist by T. Haliburton)
