dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Sat, Feb 8, 2020",9:00p,Denver Nuggets,117,Phoenix Suns,108,,"16,843",Talking Stick Resort Arena,https://www.basketball-reference.com/boxscores/pbp/202002080PHO.html,202002080PHO
"Sat, Feb 8, 2020",10:00p,San Antonio Spurs,102,Sacramento Kings,122,,"16,756",Golden 1 Center,https://www.basketball-reference.com/boxscores/pbp/202002080SAC.html,202002080SAC
"Sun, Feb 9, 2020",3:30p,Boston Celtics,112,Oklahoma City Thunder,111,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/202002090OKC.html,202002090OKC
"Sun, Feb 9, 2020",6:00p,New York Knicks,135,Atlanta Hawks,140,2OT,"16,309",State Farm Arena,https://www.basketball-reference.com/boxscores/pbp/202002090ATL.html,202002090ATL
"Sun, Feb 9, 2020",6:00p,Chicago Bulls,111,Philadelphia 76ers,118,,"21,018",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/202002090PHI.html,202002090PHI
"Sun, Feb 9, 2020",6:00p,Memphis Grizzlies,106,Washington Wizards,99,,"17,251",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002090WAS.html,202002090WAS
"Sun, Feb 9, 2020",7:00p,Utah Jazz,114,Houston Rockets,113,,"18,055",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/202002090HOU.html,202002090HOU
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,,"17,240",Rocket Mortgage Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002090CLE.html,202002090CLE
"Sun, Feb 9, 2020",9:00p,Miami Heat,109,Portland Trail Blazers,115,,"19,726",Moda Center,https://www.basketball-reference.com/boxscores/pbp/202002090POR.html,202002090POR
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,87,Detroit Pistons,76,,"13,941",Little Caesars Arena,https://www.basketball-reference.com/boxscores/pbp/202002100DET.html,202002100DET
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,106,Indiana Pacers,105,,"16,761",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002100IND.html,202002100IND
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,126,Orlando Magic,135,,"17,076",Amway Center,https://www.basketball-reference.com/boxscores/pbp/202002100ORL.html,202002100ORL
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,,"19,800",Scotiabank Arena,https://www.basketball-reference.com/boxscores/pbp/202002100TOR.html,202002100TOR
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,111,Milwaukee Bucks,123,,"17,463",Fiserv Forum,https://www.basketball-reference.com/boxscores/pbp/202002100MIL.html,202002100MIL
"Mon, Feb 10, 2020",8:30p,Utah Jazz,123,Dallas Mavericks,119,,"19,793",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/202002100DAL.html,202002100DAL
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,120,Denver Nuggets,127,,"19,520",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/202002100DEN.html,202002100DEN
"Mon, Feb 10, 2020",10:30p,Miami Heat,113,Golden State Warriors,101,,"18,064",Chase Center,https://www.basketball-reference.com/boxscores/pbp/202002100GSW.html,202002100GSW
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,100,Los Angeles Lakers,125,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002100LAL.html,202002100LAL
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,,"20,730",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/202002110PHI.html,202002110PHI
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,114,Washington Wizards,126,,"15,135",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002110WAS.html,202002110WAS
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,,"15,739",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/202002110NOP.html,202002110NOP
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/202002110OKC.html,202002110OKC
"Tue, Feb 11, 2020",9:30p,Boston Celtics,105,Houston Rockets,116,,"18,055",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/202002110HOU.html,202002110HOU
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,,"16,200",Rocket Mortgage Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002120CLE.html,202002120CLE
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,112,Orlando Magic,116,OT,"16,607",Amway Center,https://www.basketball-reference.com/boxscores/pbp/202002120ORL.html,202002120ORL
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,91,Brooklyn Nets,101,,"15,823",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/202002120BRK.html,202002120BRK
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,111,Indiana Pacers,118,,"17,018",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002120IND.html,202002120IND
"Wed, Feb 12, 2020",7:30p,Washington Wizards,114,New York Knicks,96,,"18,835",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/202002120NYK.html,202002120NYK
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,,"16,889",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/202002120MEM.html,202002120MEM
"Wed, Feb 12, 2020",8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,,"18,978",Target Center,https://www.basketball-reference.com/boxscores/pbp/202002120MIN.html,202002120MIN
"Wed, Feb 12, 2020",8:30p,Sacramento Kings,111,Dallas Mavericks,130,,"19,842",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/202002120DAL.html,202002120DAL
"Wed, Feb 12, 2020",9:00p,Golden State Warriors,106,Phoenix Suns,112,,"15,216",Talking Stick Resort Arena,https://www.basketball-reference.com/boxscores/pbp/202002120PHO.html,202002120PHO
"Wed, Feb 12, 2020",9:00p,Miami Heat,101,Utah Jazz,116,,"18,306",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/202002120UTA.html,202002120UTA
"Wed, Feb 12, 2020",10:00p,Los Angeles Lakers,120,Denver Nuggets,116,OT,"19,860",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/202002120DEN.html,202002120DEN
"Thu, Feb 13, 2020",8:00p,Los Angeles Clippers,133,Boston Celtics,141,2OT,"19,156",TD Garden,https://www.basketball-reference.com/boxscores/pbp/202002130BOS.html,202002130BOS
"Thu, Feb 13, 2020",8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,,"17,865",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/202002130NOP.html,202002130NOP
"Thu, Feb 20, 2020",7:00p,Milwaukee Bucks,126,Detroit Pistons,106,,"16,097",Little Caesars Arena,https://www.basketball-reference.com/boxscores/pbp/202002200DET.html,202002200DET
"Thu, Feb 20, 2020",7:30p,Miami Heat,124,Atlanta Hawks,129,,"17,356",State Farm Arena,https://www.basketball-reference.com/boxscores/pbp/202002200ATL.html,202002200ATL
"Thu, Feb 20, 2020",8:00p,Charlotte Hornets,103,Chicago Bulls,93,,"17,463",United Center,https://www.basketball-reference.com/boxscores/pbp/202002200CHI.html,202002200CHI
"Thu, Feb 20, 2020",8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,OT,"20,806",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/202002200PHI.html,202002200PHI
"Thu, Feb 20, 2020",10:00p,Memphis Grizzlies,125,Sacramento Kings,129,,"17,078",Golden 1 Center,https://www.basketball-reference.com/boxscores/pbp/202002200SAC.html,202002200SAC
"Thu, Feb 20, 2020",10:30p,Houston Rockets,135,Golden State Warriors,105,,"18,064",Chase Center,https://www.basketball-reference.com/boxscores/pbp/202002200GSW.html,202002200GSW
"Fri, Feb 21, 2020",7:00p,Dallas Mavericks,122,Orlando Magic,106,,"18,846",Amway Center,https://www.basketball-reference.com/boxscores/pbp/202002210ORL.html,202002210ORL
"Fri, Feb 21, 2020",7:00p,Cleveland Cavaliers,113,Washington Wizards,108,,"18,895",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002210WAS.html,202002210WAS
"Fri, Feb 21, 2020",7:30p,Indiana Pacers,106,New York Knicks,98,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/202002210NYK.html,202002210NYK
"Fri, Feb 21, 2020",7:30p,Phoenix Suns,101,Toronto Raptors,118,,"19,800",Scotiabank Arena,https://www.basketball-reference.com/boxscores/pbp/202002210TOR.html,202002210TOR
"Fri, Feb 21, 2020",8:00p,Boston Celtics,127,Minnesota Timberwolves,117,,"18,978",Target Center,https://www.basketball-reference.com/boxscores/pbp/202002210MIN.html,202002210MIN
"Fri, Feb 21, 2020",8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/202002210OKC.html,202002210OKC
"Fri, Feb 21, 2020",9:00p,San Antonio Spurs,113,Utah Jazz,104,,"18,306",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/202002210UTA.html,202002210UTA
"Fri, Feb 21, 2020",10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002210LAL.html,202002210LAL
"Fri, Feb 21, 2020",10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,,"19,946",Moda Center,https://www.basketball-reference.com/boxscores/pbp/202002210POR.html,202002210POR
"Sat, Feb 22, 2020",3:30p,Sacramento Kings,112,Los Angeles Clippers,103,,"19,068",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002220LAC.html,202002220LAC
"Sat, Feb 22, 2020",7:00p,Brooklyn Nets,115,Charlotte Hornets,86,,"19,079",Spectrum Center,https://www.basketball-reference.com/boxscores/pbp/202002220CHO.html,202002220CHO
"Sat, Feb 22, 2020",7:30p,Dallas Mavericks,107,Atlanta Hawks,111,,"17,050",State Farm Arena,https://www.basketball-reference.com/boxscores/pbp/202002220ATL.html,202002220ATL
"Sat, Feb 22, 2020",8:00p,Phoenix Suns,112,Chicago Bulls,104,,"20,506",United Center,https://www.basketball-reference.com/boxscores/pbp/202002220CHI.html,202002220CHI
