dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Wed, Mar 2, 2016",8:00p,Sacramento Kings,98,Memphis Grizzlies,104,,"15,310",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603020MEM.html,201603020MEM
"Wed, Mar 2, 2016",8:00p,Indiana Pacers,104,Milwaukee Bucks,99,,"14,263",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603020MIL.html,201603020MIL
"Wed, Mar 2, 2016",8:00p,Washington Wizards,104,Minnesota Timberwolves,98,,"11,307",Target Center,https://www.basketball-reference.com/boxscores/pbp/201603020MIN.html,201603020MIN
"Wed, Mar 2, 2016",8:00p,Detroit Pistons,81,San Antonio Spurs,97,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603020SAS.html,201603020SAS
"Wed, Mar 2, 2016",9:00p,Los Angeles Lakers,107,Denver Nuggets,117,,"20,096",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603020DEN.html,201603020DEN
"Wed, Mar 2, 2016",10:30p,Oklahoma City Thunder,98,Los Angeles Clippers,103,,"19,304",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603020LAC.html,201603020LAC
"Thu, Mar 3, 2016",7:30p,Phoenix Suns,92,Miami Heat,108,,"19,600",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201603030MIA.html,201603030MIA
"Thu, Mar 3, 2016",8:00p,San Antonio Spurs,94,New Orleans Pelicans,86,,"17,781",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201603030NOP.html,201603030NOP
"Thu, Mar 3, 2016",8:30p,Sacramento Kings,104,Dallas Mavericks,101,,"19,910",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603030DAL.html,201603030DAL
"Thu, Mar 3, 2016",10:30p,Oklahoma City Thunder,106,Golden State Warriors,121,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603030GSW.html,201603030GSW
"Fri, Mar 4, 2016",7:00p,Indiana Pacers,101,Charlotte Hornets,108,,"19,099",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603040CHO.html,201603040CHO
"Fri, Mar 4, 2016",7:00p,Phoenix Suns,102,Orlando Magic,84,,"17,546",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201603040ORL.html,201603040ORL
"Fri, Mar 4, 2016",7:00p,Miami Heat,112,Philadelphia 76ers,102,,"17,610",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603040PHI.html,201603040PHI
"Fri, Mar 4, 2016",7:30p,New York Knicks,104,Boston Celtics,105,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201603040BOS.html,201603040BOS
"Fri, Mar 4, 2016",7:30p,Portland Trail Blazers,115,Toronto Raptors,117,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603040TOR.html,201603040TOR
"Fri, Mar 4, 2016",8:00p,Washington Wizards,83,Cleveland Cavaliers,108,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201603040CLE.html,201603040CLE
"Fri, Mar 4, 2016",8:00p,Utah Jazz,88,Memphis Grizzlies,94,,"17,188",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603040MEM.html,201603040MEM
"Fri, Mar 4, 2016",8:00p,Minnesota Timberwolves,101,Milwaukee Bucks,116,,"16,366",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603040MIL.html,201603040MIL
"Fri, Mar 4, 2016",9:00p,Brooklyn Nets,121,Denver Nuggets,120,OT,"14,163",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603040DEN.html,201603040DEN
"Fri, Mar 4, 2016",10:30p,Atlanta Hawks,106,Los Angeles Lakers,77,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603040LAL.html,201603040LAL
"Sat, Mar 5, 2016",7:00p,Boston Celtics,103,Cleveland Cavaliers,120,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201603050CLE.html,201603050CLE
"Sat, Mar 5, 2016",7:00p,Utah Jazz,106,New Orleans Pelicans,94,,"16,680",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201603050NOP.html,201603050NOP
"Sat, Mar 5, 2016",7:00p,Detroit Pistons,89,New York Knicks,102,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201603050NYK.html,201603050NYK
"Sat, Mar 5, 2016",7:00p,Indiana Pacers,100,Washington Wizards,99,,"20,356",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201603050WAS.html,201603050WAS
"Sat, Mar 5, 2016",8:00p,Brooklyn Nets,118,Minnesota Timberwolves,132,,"15,987",Target Center,https://www.basketball-reference.com/boxscores/pbp/201603050MIN.html,201603050MIN
"Sat, Mar 5, 2016",8:30p,Houston Rockets,100,Chicago Bulls,108,,"22,203",United Center,https://www.basketball-reference.com/boxscores/pbp/201603050CHI.html,201603050CHI
"Sat, Mar 5, 2016",8:30p,Sacramento Kings,94,San Antonio Spurs,104,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603050SAS.html,201603050SAS
"Sat, Mar 5, 2016",10:30p,Atlanta Hawks,107,Los Angeles Clippers,97,,"19,236",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603050LAC.html,201603050LAC
"Sun, Mar 6, 2016",3:30p,Golden State Warriors,95,Los Angeles Lakers,112,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603060LAL.html,201603060LAL
"Sun, Mar 6, 2016",3:30p,Oklahoma City Thunder,104,Milwaukee Bucks,96,,"16,565",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603060MIL.html,201603060MIL
"Sun, Mar 6, 2016",4:00p,Phoenix Suns,109,Memphis Grizzlies,100,,"17,291",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603060MEM.html,201603060MEM
"Sun, Mar 6, 2016",5:00p,Dallas Mavericks,114,Denver Nuggets,116,OT,"14,802",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603060DEN.html,201603060DEN
"Sun, Mar 6, 2016",6:00p,Portland Trail Blazers,103,Detroit Pistons,123,,"18,386",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201603060DET.html,201603060DET
"Sun, Mar 6, 2016",6:00p,Philadelphia 76ers,98,Miami Heat,103,,"19,820",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201603060MIA.html,201603060MIA
"Sun, Mar 6, 2016",6:30p,Houston Rockets,113,Toronto Raptors,107,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603060TOR.html,201603060TOR
"Mon, Mar 7, 2016",7:00p,Minnesota Timberwolves,103,Charlotte Hornets,108,,"15,912",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603070CHO.html,201603070CHO
"Mon, Mar 7, 2016",7:00p,Memphis Grizzlies,106,Cleveland Cavaliers,103,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201603070CLE.html,201603070CLE
"Mon, Mar 7, 2016",7:00p,San Antonio Spurs,91,Indiana Pacers,99,,"16,742",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201603070IND.html,201603070IND
"Mon, Mar 7, 2016",8:00p,Milwaukee Bucks,90,Chicago Bulls,100,,"21,672",United Center,https://www.basketball-reference.com/boxscores/pbp/201603070CHI.html,201603070CHI
"Mon, Mar 7, 2016",8:00p,Sacramento Kings,112,New Orleans Pelicans,115,,"16,403",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201603070NOP.html,201603070NOP
"Mon, Mar 7, 2016",8:30p,Los Angeles Clippers,109,Dallas Mavericks,90,,"20,002",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603070DAL.html,201603070DAL
"Mon, Mar 7, 2016",10:30p,Orlando Magic,113,Golden State Warriors,119,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603070GSW.html,201603070GSW
"Tue, Mar 8, 2016",7:30p,Brooklyn Nets,99,Toronto Raptors,104,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603080TOR.html,201603080TOR
"Tue, Mar 8, 2016",8:00p,San Antonio Spurs,116,Minnesota Timberwolves,91,,"14,093",Target Center,https://www.basketball-reference.com/boxscores/pbp/201603080MIN.html,201603080MIN
"Tue, Mar 8, 2016",9:00p,New York Knicks,94,Denver Nuggets,110,,"13,305",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603080DEN.html,201603080DEN
"Tue, Mar 8, 2016",9:00p,Atlanta Hawks,91,Utah Jazz,84,,"19,282",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/201603080UTA.html,201603080UTA
"Tue, Mar 8, 2016",10:00p,Washington Wizards,109,Portland Trail Blazers,116,OT,"19,393",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201603080POR.html,201603080POR
"Tue, Mar 8, 2016",10:30p,Orlando Magic,98,Los Angeles Lakers,107,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603080LAL.html,201603080LAL
"Wed, Mar 9, 2016",7:00p,Memphis Grizzlies,96,Boston Celtics,116,,"17,790",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201603090BOS.html,201603090BOS
"Wed, Mar 9, 2016",7:00p,New Orleans Pelicans,113,Charlotte Hornets,122,,"16,335",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603090CHO.html,201603090CHO
"Wed, Mar 9, 2016",7:00p,Houston Rockets,118,Philadelphia 76ers,104,,"15,237",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603090PHI.html,201603090PHI
"Wed, Mar 9, 2016",8:00p,Miami Heat,108,Milwaukee Bucks,114,,"15,005",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603090MIL.html,201603090MIL
"Wed, Mar 9, 2016",8:30p,Detroit Pistons,102,Dallas Mavericks,96,,"20,249",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603090DAL.html,201603090DAL
"Wed, Mar 9, 2016",9:00p,New York Knicks,128,Phoenix Suns,97,,"17,105",Talking Stick Resort Arena,https://www.basketball-reference.com/boxscores/pbp/201603090PHO.html,201603090PHO
"Wed, Mar 9, 2016",9:30p,Los Angeles Clippers,108,Oklahoma City Thunder,120,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201603090OKC.html,201603090OKC
"Wed, Mar 9, 2016",10:00p,Cleveland Cavaliers,120,Sacramento Kings,111,,"17,317",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201603090SAC.html,201603090SAC
"Wed, Mar 9, 2016",10:30p,Utah Jazz,94,Golden State Warriors,115,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603090GSW.html,201603090GSW
"Thu, Mar 10, 2016",7:30p,Atlanta Hawks,96,Toronto Raptors,104,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603100TOR.html,201603100TOR
"Thu, Mar 10, 2016",8:00p,Chicago Bulls,101,San Antonio Spurs,109,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603100SAS.html,201603100SAS
"Thu, Mar 10, 2016",9:00p,Phoenix Suns,98,Denver Nuggets,116,,"11,582",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603100DEN.html,201603100DEN
"Thu, Mar 10, 2016",10:30p,Cleveland Cavaliers,120,Los Angeles Lakers,108,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603100LAL.html,201603100LAL
"Fri, Mar 11, 2016",7:00p,Detroit Pistons,103,Charlotte Hornets,118,,"18,189",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603110CHO.html,201603110CHO
"Fri, Mar 11, 2016",7:00p,Brooklyn Nets,89,Philadelphia 76ers,95,,"14,128",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603110PHI.html,201603110PHI
"Fri, Mar 11, 2016",7:30p,Houston Rockets,102,Boston Celtics,98,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201603110BOS.html,201603110BOS
"Fri, Mar 11, 2016",8:00p,Miami Heat,118,Chicago Bulls,96,,"22,067",United Center,https://www.basketball-reference.com/boxscores/pbp/201603110CHI.html,201603110CHI
"Fri, Mar 11, 2016",8:00p,New Orleans Pelicans,114,Memphis Grizzlies,121,OT,"18,119",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603110MEM.html,201603110MEM
"Fri, Mar 11, 2016",8:00p,Minnesota Timberwolves,99,Oklahoma City Thunder,96,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201603110OKC.html,201603110OKC
"Fri, Mar 11, 2016",9:00p,Washington Wizards,93,Utah Jazz,114,,"19,911",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/201603110UTA.html,201603110UTA
"Fri, Mar 11, 2016",10:00p,Orlando Magic,107,Sacramento Kings,100,,"17,081",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201603110SAC.html,201603110SAC
"Fri, Mar 11, 2016",10:30p,Portland Trail Blazers,112,Golden State Warriors,128,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603110GSW.html,201603110GSW
"Fri, Mar 11, 2016",10:30p,New York Knicks,94,Los Angeles Clippers,101,,"19,175",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603110LAC.html,201603110LAC
"Sat, Mar 12, 2016",2:00p,Indiana Pacers,112,Dallas Mavericks,105,,"20,459",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603120DAL.html,201603120DAL
"Sat, Mar 12, 2016",7:00p,Houston Rockets,109,Charlotte Hornets,125,,"19,303",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603120CHO.html,201603120CHO
"Sat, Mar 12, 2016",7:00p,Detroit Pistons,125,Philadelphia 76ers,111,,"16,087",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603120PHI.html,201603120PHI
"Sat, Mar 12, 2016",7:00p,Miami Heat,104,Toronto Raptors,112,OT,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603120TOR.html,201603120TOR
"Sat, Mar 12, 2016",7:30p,Memphis Grizzlies,83,Atlanta Hawks,95,,"17,515",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201603120ATL.html,201603120ATL
"Sat, Mar 12, 2016",7:30p,New Orleans Pelicans,92,Milwaukee Bucks,103,,"16,518",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603120MIL.html,201603120MIL
"Sat, Mar 12, 2016",8:30p,Oklahoma City Thunder,85,San Antonio Spurs,93,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603120SAS.html,201603120SAS
"Sat, Mar 12, 2016",9:30p,Washington Wizards,100,Denver Nuggets,116,,"13,213",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201603120DEN.html,201603120DEN
"Sat, Mar 12, 2016",10:30p,Phoenix Suns,116,Golden State Warriors,123,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603120GSW.html,201603120GSW
"Sat, Mar 12, 2016",10:30p,Orlando Magic,84,Portland Trail Blazers,121,,"19,452",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201603120POR.html,201603120POR
"Sun, Mar 13, 2016",3:30p,Cleveland Cavaliers,114,Los Angeles Clippers,90,,"19,342",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603130LAC.html,201603130LAC
"Sun, Mar 13, 2016",6:00p,Indiana Pacers,75,Atlanta Hawks,104,,"17,066",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201603130ATL.html,201603130ATL
"Sun, Mar 13, 2016",6:00p,Utah Jazz,108,Sacramento Kings,99,,"17,023",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201603130SAC.html,201603130SAC
"Sun, Mar 13, 2016",8:00p,Milwaukee Bucks,109,Brooklyn Nets,100,,"15,241",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201603130BRK.html,201603130BRK
"Sun, Mar 13, 2016",9:30p,New York Knicks,90,Los Angeles Lakers,87,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603130LAL.html,201603130LAL
"Mon, Mar 14, 2016",7:00p,Dallas Mavericks,107,Charlotte Hornets,96,,"15,686",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603140CHO.html,201603140CHO
"Mon, Mar 14, 2016",7:30p,Denver Nuggets,119,Miami Heat,124,,"19,744",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201603140MIA.html,201603140MIA
"Mon, Mar 14, 2016",7:30p,Chicago Bulls,109,Toronto Raptors,107,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603140TOR.html,201603140TOR
"Mon, Mar 14, 2016",8:00p,Memphis Grizzlies,81,Houston Rockets,130,,"18,226",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201603140HOU.html,201603140HOU
"Mon, Mar 14, 2016",8:00p,Portland Trail Blazers,94,Oklahoma City Thunder,128,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201603140OKC.html,201603140OKC
"Mon, Mar 14, 2016",8:00p,Detroit Pistons,81,Washington Wizards,124,,"18,042",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201603140WAS.html,201603140WAS
"Mon, Mar 14, 2016",10:00p,Minnesota Timberwolves,104,Phoenix Suns,107,,"17,480",Talking Stick Resort Arena,https://www.basketball-reference.com/boxscores/pbp/201603140PHO.html,201603140PHO
"Mon, Mar 14, 2016",10:30p,New Orleans Pelicans,107,Golden State Warriors,125,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603140GSW.html,201603140GSW
"Mon, Mar 14, 2016",10:30p,Cleveland Cavaliers,85,Utah Jazz,94,,"19,911",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/201603140UTA.html,201603140UTA
"Tue, Mar 15, 2016",7:00p,Boston Celtics,98,Indiana Pacers,103,,"17,118",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201603150IND.html,201603150IND
"Tue, Mar 15, 2016",7:00p,Denver Nuggets,110,Orlando Magic,116,,"16,988",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201603150ORL.html,201603150ORL
"Tue, Mar 15, 2016",7:30p,Philadelphia 76ers,114,Brooklyn Nets,131,,"14,560",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201603150BRK.html,201603150BRK
"Tue, Mar 15, 2016",8:00p,Toronto Raptors,107,Milwaukee Bucks,89,,"13,522",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603150MIL.html,201603150MIL
"Tue, Mar 15, 2016",8:30p,Los Angeles Clippers,87,San Antonio Spurs,108,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603150SAS.html,201603150SAS
"Tue, Mar 15, 2016",10:30p,Sacramento Kings,106,Los Angeles Lakers,98,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603150LAL.html,201603150LAL
"Wed, Mar 16, 2016",7:00p,Oklahoma City Thunder,130,Boston Celtics,109,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201603160BOS.html,201603160BOS
"Wed, Mar 16, 2016",7:00p,Orlando Magic,99,Charlotte Hornets,107,,"16,148",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603160CHO.html,201603160CHO
"Wed, Mar 16, 2016",7:00p,Dallas Mavericks,98,Cleveland Cavaliers,99,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201603160CLE.html,201603160CLE
"Wed, Mar 16, 2016",7:00p,Chicago Bulls,96,Washington Wizards,117,,"19,556",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201603160WAS.html,201603160WAS
"Wed, Mar 16, 2016",7:30p,Atlanta Hawks,118,Detroit Pistons,114,,"14,121",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201603160DET.html,201603160DET
"Wed, Mar 16, 2016",8:00p,Minnesota Timberwolves,114,Memphis Grizzlies,108,,"16,588",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603160MEM.html,201603160MEM
"Wed, Mar 16, 2016",9:30p,Los Angeles Clippers,122,Houston Rockets,106,,"18,304",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201603160HOU.html,201603160HOU
"Wed, Mar 16, 2016",10:00p,New Orleans Pelicans,123,Sacramento Kings,108,,"17,086",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201603160SAC.html,201603160SAC
"Wed, Mar 16, 2016",10:30p,New York Knicks,85,Golden State Warriors,121,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201603160GSW.html,201603160GSW
"Thu, Mar 17, 2016",7:00p,Toronto Raptors,101,Indiana Pacers,94,OT,"15,104",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201603170IND.html,201603170IND
"Thu, Mar 17, 2016",7:00p,Washington Wizards,99,Philadelphia 76ers,94,,"10,521",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603170PHI.html,201603170PHI
"Thu, Mar 17, 2016",7:30p,Charlotte Hornets,109,Miami Heat,106,,"19,848",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201603170MIA.html,201603170MIA
"Thu, Mar 17, 2016",8:00p,Denver Nuggets,98,Atlanta Hawks,116,,"14,383",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201603170ATL.html,201603170ATL
"Thu, Mar 17, 2016",8:00p,Brooklyn Nets,102,Chicago Bulls,118,,"21,513",United Center,https://www.basketball-reference.com/boxscores/pbp/201603170CHI.html,201603170CHI
"Thu, Mar 17, 2016",8:00p,Memphis Grizzlies,86,Milwaukee Bucks,96,,"11,740",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603170MIL.html,201603170MIL
"Thu, Mar 17, 2016",8:30p,Portland Trail Blazers,110,San Antonio Spurs,118,,"18,418",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603170SAS.html,201603170SAS
"Thu, Mar 17, 2016",9:00p,Phoenix Suns,69,Utah Jazz,103,,"18,784",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/201603170UTA.html,201603170UTA
"Fri, Mar 18, 2016",7:00p,Cleveland Cavaliers,109,Orlando Magic,103,,"18,046",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201603180ORL.html,201603180ORL
"Fri, Mar 18, 2016",7:00p,Oklahoma City Thunder,111,Philadelphia 76ers,97,,"20,388",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603180PHI.html,201603180PHI
"Fri, Mar 18, 2016",7:30p,Sacramento Kings,108,Detroit Pistons,115,,"15,982",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201603180DET.html,201603180DET
"Fri, Mar 18, 2016",7:30p,Boston Celtics,91,Toronto Raptors,105,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603180TOR.html,201603180TOR
"Fri, Mar 18, 2016",8:00p,Minnesota Timberwolves,111,Houston Rockets,116,,"18,142",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201603180HOU.html,201603180HOU
"Fri, Mar 18, 2016",8:00p,Portland Trail Blazers,117,New Orleans Pelicans,112,,"17,263",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201603180NOP.html,201603180NOP
"Fri, Mar 18, 2016",8:30p,Golden State Warriors,130,Dallas Mavericks,112,,"20,515",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603180DAL.html,201603180DAL
"Fri, Mar 18, 2016",10:30p,Phoenix Suns,95,Los Angeles Lakers,90,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201603180LAL.html,201603180LAL
"Sat, Mar 19, 2016",6:00p,Denver Nuggets,101,Charlotte Hornets,93,,"19,271",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603190CHO.html,201603190CHO
"Sat, Mar 19, 2016",7:00p,Brooklyn Nets,103,Detroit Pistons,115,,"17,559",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201603190DET.html,201603190DET
"Sat, Mar 19, 2016",7:00p,Oklahoma City Thunder,115,Indiana Pacers,111,,"18,165",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201603190IND.html,201603190IND
"Sat, Mar 19, 2016",7:00p,New York Knicks,89,Washington Wizards,99,,"20,356",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201603190WAS.html,201603190WAS
"Sat, Mar 19, 2016",7:30p,Houston Rockets,97,Atlanta Hawks,109,,"18,067",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201603190ATL.html,201603190ATL
"Sat, Mar 19, 2016",7:30p,Cleveland Cavaliers,101,Miami Heat,122,,"19,737",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201603190MIA.html,201603190MIA
"Sat, Mar 19, 2016",8:00p,Utah Jazz,85,Chicago Bulls,92,,"21,856",United Center,https://www.basketball-reference.com/boxscores/pbp/201603190CHI.html,201603190CHI
"Sat, Mar 19, 2016",8:00p,Los Angeles Clippers,102,Memphis Grizzlies,113,,"18,119",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201603190MEM.html,201603190MEM
"Sat, Mar 19, 2016",8:30p,Golden State Warriors,79,San Antonio Spurs,87,,"18,825",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201603190SAS.html,201603190SAS
"Sun, Mar 20, 2016",4:00p,Portland Trail Blazers,120,Dallas Mavericks,132,OT,"20,351",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201603200DAL.html,201603200DAL
"Sun, Mar 20, 2016",4:30p,Orlando Magic,100,Toronto Raptors,105,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201603200TOR.html,201603200TOR
"Sun, Mar 20, 2016",6:00p,Los Angeles Clippers,105,New Orleans Pelicans,109,,"17,407",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201603200NOP.html,201603200NOP
"Sun, Mar 20, 2016",6:00p,Boston Celtics,120,Philadelphia 76ers,105,,"15,103",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201603200PHI.html,201603200PHI
"Sun, Mar 20, 2016",7:00p,Utah Jazz,94,Milwaukee Bucks,85,,"14,124",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201603200MIL.html,201603200MIL
"Sun, Mar 20, 2016",7:30p,Sacramento Kings,88,New York Knicks,80,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201603200NYK.html,201603200NYK
"Mon, Mar 21, 2016",7:00p,San Antonio Spurs,88,Charlotte Hornets,91,,"18,260",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201603210CHO.html,201603210CHO
"Mon, Mar 21, 2016",7:00p,Denver Nuggets,91,Cleveland Cavaliers,124,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201603210CLE.html,201603210CLE
"Mon, Mar 21, 2016",7:00p,Philadelphia 76ers,75,Indiana Pacers,91,,"16,155",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201603210IND.html,201603210IND
